Provinsi;Pulau;Tahun;Produktivitas;Produksi;luas_lahan
Aceh;Pulau Sumatera;2003;42.09;1547499;348232
Aceh;Pulau Sumatera;2004;41.84;1552078;346305
Aceh;Pulau Sumatera;2005;41.78;1411650;356649
Aceh;Pulau Sumatera;2006;42.11;1350748;315277
Aceh;Pulau Sumatera;2007;42.51;1533369;312803
Aceh;Pulau Sumatera;2008;42.61;1402287;323010
Aceh;Pulau Sumatera;2009;43.32;1556858;359751
Aceh;Pulau Sumatera;2010;44.92;1582393;313649
Aceh;Pulau Sumatera;2011;46.57;1772962;307556
Aceh;Pulau Sumatera;2012;46.12;1788738;308973
Aceh;Pulau Sumatera;2013;46.68;1956940;300808
Sumatra Utara;Pulau Sumatera;2003;41.24;3403075;538180
Sumatra Utara;Pulau Sumatera;2004;41.39;3418782;502839
Sumatra Utara;Pulau Sumatera;2005;41.94;3447394;462767
Sumatra Utara;Pulau Sumatera;2006;42.66;3007636;460486
Sumatra Utara;Pulau Sumatera;2007;43.53;3265834;453372
Sumatra Utara;Pulau Sumatera;2008;44.63;3340794;478521
Sumatra Utara;Pulau Sumatera;2009;45.91;3527899;464256
Sumatra Utara;Pulau Sumatera;2010;47.47;3582302;468724
Sumatra Utara;Pulau Sumatera;2011;47.62;3607403;467138
Sumatra Utara;Pulau Sumatera;2012;48.56;3715514;448722
Sumatra Utara;Pulau Sumatera;2013;50.17;3727249;438346
Sumatra Barat;Pulau Sumatera;2003;44.28;1823739;225369
Sumatra Barat;Pulau Sumatera;2004;44.37;1875188;231939
Sumatra Barat;Pulau Sumatera;2005;44.67;1907390;228176
Sumatra Barat;Pulau Sumatera;2006;45.22;1889489;229469
Sumatra Barat;Pulau Sumatera;2007;45.75;1938120;227355
Sumatra Barat;Pulau Sumatera;2008;46.59;1965634;225623
Sumatra Barat;Pulau Sumatera;2009;47.91;2105790;228176
Sumatra Barat;Pulau Sumatera;2010;48.02;2211248;229693
Sumatra Barat;Pulau Sumatera;2011;49.37;2279602;231463
Sumatra Barat;Pulau Sumatera;2012;49.71;2368390;230775
Sumatra Barat;Pulau Sumatera;2013;49.82;2430384;224182
Riau;Pulau Sumatera;2003;31.17;414237;128225
Riau;Pulau Sumatera;2004;31.27;454186;125966
Riau;Pulau Sumatera;2005;31.55;424095;118955
Riau;Pulau Sumatera;2006;31.53;42938;124985
Riau;Pulau Sumatera;2007;33.30;490087;128242
Riau;Pulau Sumatera;2008;33.44;494260;122255
Riau;Pulau Sumatera;2009;35.57;531429;122738
Riau;Pulau Sumatera;2010;36.83;574864;115961
Riau;Pulau Sumatera;2011;36.89;535788;115897
Riau;Pulau Sumatera;2012;35.56;512152;109585
Riau;Pulau Sumatera;2013;36.63;434144;93338
Jambi;Pulau Sumatera;2003;36.27;578346;120552
Jambi;Pulau Sumatera;2004;36.95;579404;122126
Jambi;Pulau Sumatera;2005;37.41;579635;117482
Jambi;Pulau Sumatera;2006;38.73;544597;119242
Jambi;Pulau Sumatera;2007;39.14;58663;117543
Jambi;Pulau Sumatera;2008;40.67;581704;116212
Jambi;Pulau Sumatera;2009;41.40;644947;117336
Jambi;Pulau Sumatera;2010;40.86;628828;112434
Jambi;Pulau Sumatera;2011;41.07;646641;113757
Jambi;Pulau Sumatera;2012;41.85;625164;113379
Jambi;Pulau Sumatera;2013;43.36;664535;113546
Sumatera Selatan;Pulau Sumatera;2003;34.69;1977345;512510
Sumatera Selatan;Pulau Sumatera;2004;36.17;2260794;474429
Sumatera Selatan;Pulau Sumatera;2005;37.01;2320110;484207
Sumatera Selatan;Pulau Sumatera;2006;37.97;2456251;523922
Sumatera Selatan;Pulau Sumatera;2007;39.81;2753044;530204
Sumatera Selatan;Pulau Sumatera;2008;41.34;2971286;577821
Sumatera Selatan;Pulau Sumatera;2009;41.87;3125236;611072
Sumatera Selatan;Pulau Sumatera;2010;42.53;3272451;611386
Sumatera Selatan;Pulau Sumatera;2011;43.13;3384670;629355
Sumatera Selatan;Pulau Sumatera;2012;42.81;3295247;610314
Sumatera Selatan;Pulau Sumatera;2013;45.96;3676723;612424
Bengkulu;Pulau Sumatera;2003;37.39;413375;88432
Bengkulu;Pulau Sumatera;2004;37.39;414741;85641
Bengkulu;Pulau Sumatera;2005;37.77;441276;84164
Bengkulu;Pulau Sumatera;2006;37.47;378377;83885
Bengkulu;Pulau Sumatera;2007;37.99;470469;93779
Bengkulu;Pulau Sumatera;2008;38.03;484900;89244
Bengkulu;Pulau Sumatera;2009;38.37;510160;89614
Bengkulu;Pulau Sumatera;2010;38.68;516869;92976
Bengkulu;Pulau Sumatera;2011;39.28;502552;90217
Bengkulu;Pulau Sumatera;2012;40.29;581910;88877
Bengkulu;Pulau Sumatera;2013;42.17;622832;93382
Lampung;Pulau Sumatera;2003;41.60;1966293;303380
Lampung;Pulau Sumatera;2004;42.22;2091996;316017
Lampung;Pulau Sumatera;2005;42.78;2124144;313621
Lampung;Pulau Sumatera;2006;43.11;2129914;317413
Lampung;Pulau Sumatera;2007;43.97;2308404;342507
Lampung;Pulau Sumatera;2008;46.22;2341075;348732
Lampung;Pulau Sumatera;2009;46.88;2673844;349144
Lampung;Pulau Sumatera;2010;47.54;2807676;345437
Lampung;Pulau Sumatera;2011;48.45;2940795;350949
Lampung;Pulau Sumatera;2012;48.32;3101455;364111
Lampung;Pulau Sumatera;2013;50.26;3207002;360237
Kep. Bangka Belitung;Pulau Sumatera;2003;23.25;12173;3186
Kep. Bangka Belitung;Pulau Sumatera;2004;25.35;18763;3773
Kep. Bangka Belitung;Pulau Sumatera;2005;28.44;19027;4111
Kep. Bangka Belitung;Pulau Sumatera;2006;28.75;16506;4048
Kep. Bangka Belitung;Pulau Sumatera;2007;27.07;2439;4176
Kep. Bangka Belitung;Pulau Sumatera;2008;24.06;15079;3506
Kep. Bangka Belitung;Pulau Sumatera;2009;24.64;19864;5017
Kep. Bangka Belitung;Pulau Sumatera;2010;27.21;22259;4056
Kep. Bangka Belitung;Pulau Sumatera;2011;28.71;15211;5932
Kep. Bangka Belitung;Pulau Sumatera;2012;28.01;22395;6133
Kep. Bangka Belitung;Pulau Sumatera;2013;27.83;28480;5358
Kep. Riau;Pulau Sumatera;2003;0;0;0
Kep. Riau;Pulau Sumatera;2004;0;0;0
Kep. Riau;Pulau Sumatera;2005;29.16;312;76
Kep. Riau;Pulau Sumatera;2006;28.62;332;82
Kep. Riau;Pulau Sumatera;2007;29.32;343;124
Kep. Riau;Pulau Sumatera;2008;30.15;404;133
Kep. Riau;Pulau Sumatera;2009;29.86;430;238
Kep. Riau;Pulau Sumatera;2010;31.46;1246;442
Kep. Riau;Pulau Sumatera;2011;31.60;1223;393
Kep. Riau;Pulau Sumatera;2012;34.63;1323;559
Kep. Riau;Pulau Sumatera;2013;36.15;1370;487
DKI Jakarta;Pulau Jawa;2003;43.84;7558;2738
DKI Jakarta;Pulau Jawa;2004;45.78;13465;2563
DKI Jakarta;Pulau Jawa;2005;49.98;13335;1866
DKI Jakarta;Pulau Jawa;2006;46.84;6197;1466
DKI Jakarta;Pulau Jawa;2007;51.83;8002;1200
DKI Jakarta;Pulau Jawa;2008;50.93;8352;1200
DKI Jakarta;Pulau Jawa;2009;55.79;11013;1215
DKI Jakarta;Pulau Jawa;2010;55.40;11164;1312
DKI Jakarta;Pulau Jawa;2011;55.23;9516;1098
DKI Jakarta;Pulau Jawa;2012;58.22;11044;1001
DKI Jakarta;Pulau Jawa;2013;58.88;10268;895
Jawa Barat;Pulau Jawa;2003;52.73;8776889;934140
Jawa Barat;Pulau Jawa;2004;51.07;9602302;932337
Jawa Barat;Pulau Jawa;2005;51.65;9787217;925900
Jawa Barat;Pulau Jawa;2006;52.38;9418572;926782
Jawa Barat;Pulau Jawa;2007;54.20;9914019;934845
Jawa Barat;Pulau Jawa;2008;56.06;10111069;945544
Jawa Barat;Pulau Jawa;2009;58.06;11322681;937373
Jawa Barat;Pulau Jawa;2010;57.60;11737070;930268
Jawa Barat;Pulau Jawa;2011;59.22;11633891;930507
Jawa Barat;Pulau Jawa;2012;58.74;11271861;923575
Jawa Barat;Pulau Jawa;2013;59.53;12083162;925042
Jawa Tengah;Pulau Jawa;2003;52.90;8123839;995469
Jawa Tengah;Pulau Jawa;2004;52.16;8512555;996197
Jawa Tengah;Pulau Jawa;2005;52.29;8424096;964102
Jawa Tengah;Pulau Jawa;2006;52.20;8729291;963401
Jawa Tengah;Pulau Jawa;2007;53.38;8616855;962942
Jawa Tengah;Pulau Jawa;2008;55.06;9136405;963984
Jawa Tengah;Pulau Jawa;2009;55.65;9600415;960768
Jawa Tengah;Pulau Jawa;2010;56.13;10110830;962471
Jawa Tengah;Pulau Jawa;2011;54.47;9391959;960970
Jawa Tengah;Pulau Jawa;2012;57.70;10232934;962289
Jawa Tengah;Pulau Jawa;2013;56.06;10344816;952525
DI Yogyakarta;Pulau Jawa;2003;49.91;652280;57612
DI Yogyakarta;Pulau Jawa;2004;53.05;692998;56982
DI Yogyakarta;Pulau Jawa;2005;51.21;670703;57188
DI Yogyakarta;Pulau Jawa;2006;53.50;708163;56218
DI Yogyakarta;Pulau Jawa;2007;53.18;709294;55540
DI Yogyakarta;Pulau Jawa;2008;56.95;798232;55332
DI Yogyakarta;Pulau Jawa;2009;57.62;837930;55325
DI Yogyakarta;Pulau Jawa;2010;56.02;823887;55523
DI Yogyakarta;Pulau Jawa;2011;55.89;842934;55291
DI Yogyakarta;Pulau Jawa;2012;61.88;946224;55023
DI Yogyakarta;Pulau Jawa;2013;57.88;921824;55336
Jawa Timur;Pulau Jawa;2003;52.58;8914995;1115239
Jawa Timur;Pulau Jawa;2004;49.70;9002025;1108361
Jawa Timur;Pulau Jawa;2005;53.18;9007265;1100574
Jawa Timur;Pulau Jawa;2006;53.38;9346947;1096479
Jawa Timur;Pulau Jawa;2007;54.16;9402029;1096605
